PORT_ID,PORT_CD,PORT_NAM,COUNTRY_CD,STATE_CD,COMMENTS_TXT,AS_OF_CD,CAPTURE_DAT,RECORD_STATUS_CD
100789,JXP,CRUISE ORKNEY ISLANDS,ZZ,,,CD,5/21/2019,A
100790,OSF,CRUISE OSLOFJORD,ZZ,,,CD,5/21/2019,A
100791,CPO,CRUISE PACIFIC OCEAN,ZZ,,,CD,5/21/2019,A
101057,MNE,CRUISE MILNE BAY,ZZ,,,CD,5/21/2019,A
100793,PWS,CRUISE PRINCE WILLIAM SOUND,ZZ,,,CD,5/21/2019,A
100794,DAV,CRUISE PORT DAVEY,ZZ,,,CD,5/21/2019,A
100795,CPS,CRUISE PUGET SOUND,ZZ,,,CD,5/21/2019,A
100796,IRL,CRUISE ROMSDALSFJORD,ZZ,,,CD,5/21/2019,A
100726,ZLD,CROSS INTERNATIONAL DATELINE,ZZ,,,CD,5/21/2019,A
100727,CQU,CROSS THE EQUATOR,ZZ,,,CD,5/21/2019,A
100728,XSA,CRUISE ADRIATIC SEA,ZZ,,,CD,5/21/2019,A
100729,XAS,CRUISE AEGEAN SEA,ZZ,,,CD,5/21/2019,A
100730,JFU,CRUISE ARAFURA SEA,ZZ,,,CD,5/21/2019,A
100731,JBI,CRUISE BALI SEA,ZZ,,,CD,5/21/2019,A
100732,ZZL,CRUISE BALTIC SEA,ZZ,,,CD,5/21/2019,A
100733,CBA,CRUISE BASS STRAIT,ZZ,,,CD,5/21/2019,A
100734,XBX,CRUISE BAY OF BISCAY,ZZ,,,CD,5/21/2019,A
100736,CBB,CRUISE BELLA BELLA STRAIT,ZZ,,,CD,5/21/2019,A
100737,ZPU,CRUISE BOSPORUS STRAIT,ZZ,,,CD,5/21/2019,A
100739,CBS,CRUISE CABOT STRAIT,ZZ,,,CD,5/21/2019,A
100740,CCP,CRUISE CANAL CONCEPTION,ZZ,,,CD,5/21/2019,A
100741,DCE,CRUISE CANAL DARWIN,ZZ,,,CD,5/21/2019,A
100744,CAB,CRUISE CARIBBEAN SEA,ZZ,,,CD,5/21/2019,A
100745,JDE,CRUISE CHESAPEAKE BAY,ZZ,,,CD,5/21/2019,A
100747,JNO,CRUISE COAST OF NORWAY,ZZ,,,CD,5/21/2019,A
100748,ICO,CRUISE COAST OF SCOTLAND,ZZ,,,CD,5/21/2019,A
100749,JCS,CRUISE COAST OF SPAIN,ZZ,,,CD,5/21/2019,A
100750,JVE,CRUISE COAST OF VIETNAM,ZZ,,,CD,5/21/2019,A
100751,CCR,CRUISE COLUMBIA RIVER,ZZ,,,CD,5/21/2019,A
100752,OOC,CRUISE CORAL SEA,ZZ,,,CD,5/21/2019,A
100753,CDS,CRUISE DARDANELLES,ZZ,,,CD,5/21/2019,A
100754,JEC,CRUISE EAST CHINA SEA,ZZ,,,CD,5/21/2019,A
100755,IER,CRUISE ELBE RIVER,ZZ,,,CD,5/21/2019,A
100756,CEN,CRUISE ENGLISH CHANNEL,ZZ,,,CD,5/21/2019,A
100757,JFL,CRUISE FLORES SEA,ZZ,,,CD,5/21/2019,A
100758,JFO,CRUISE FORMOSA STRAIT,ZZ,,,CD,5/21/2019,A
100759,CFJ,CRUISE FREDRICK SOUND,ZZ,,,CD,5/21/2019,A
100760,GAS,CRUISE GASPAR STRAIT,ZZ,,,CD,5/21/2019,A
102946,CRO,CRUISE ONLY,ZZ,,SABRE SETUP CODE,CD,5/21/2019,A
